"lhs" "op" "rhs" "est.std" "se" "z" "pvalue" "ci.lower" "ci.upper"
"1" "FD" "=~" "FD1" 0.734124541502421 0.0175506742129733 41.8288512791014 0 0.699725852140597 0.768523230864244
"2" "FD" "=~" "FD5" 0.629007134714198 0.0208016558269562 30.2383204465429 0 0.588236638474566 0.66977763095383
"3" "FD" "=~" "FD9" 0.758871154967606 0.0168267790801263 45.0990145739709 0 0.725891273994746 0.791851035940466
"4" "FD" "=~" "FD13" 0.594386882360477 0.0218596517066113 27.1910499919222 0 0.551542752300929 0.637231012420025
"5" "FD" "=~" "FD17" 0.386635992359233 0.0272144473691276 14.2070124414078 0 0.333296655656582 0.439975329061884
"6" "SD" "=~" "SD2" 0.612522302110663 0.0228844949776905 26.7658212561734 0 0.567669516150002 0.657375088071324
"7" "SD" "=~" "SD6" 0.26545300507199 0.03042187633514 8.72572757010941 0 0.205827223112984 0.325078787030995
"8" "SD" "=~" "SD10" 0.667884327695585 0.0214230525340013 31.1759646126788 0 0.625895916290033 0.709872739101137
"9" "SD" "=~" "SD14" 0.412551339105506 0.0278264157552562 14.8258885633727 0 0.358012566406366 0.467090111804646
"10" "SD" "=~" "SD18" 0.241794554576808 0.030738766275533 7.86611122936537 3.5527136788005e-15 0.181547679747569 0.302041429406047
"11" "SD" "=~" "SD22" 0.504561619907721 0.0257049096590861 19.6289979851912 0 0.454180922750057 0.554942317065385
"12" "SD" "=~" "SD24" 0.572622325904644 0.0239504967531724 23.9085782564738 0 0.525680214856582 0.619564436952705
"13" "UP" "=~" "UP3" 0.211465113222625 0.0301785116700979 7.00714188738981 2.43227660234879e-12 0.152316317242212 0.270613909203039
"14" "UP" "=~" "UP7" 0.558259028120254 0.023067068033534 24.2015598735253 0 0.513048405545592 0.603469650694916
"15" "UP" "=~" "UP11" 0.649554794194613 0.0203183640876837 31.9688529741601 0 0.609731532357981 0.689378056031245
"16" "UP" "=~" "UP15" 0.676463126443272 0.0194787951101086 34.728181215491 0 0.638285389565224 0.71464086332132
"17" "UP" "=~" "UP19" 0.699040644628223 0.0187759593955088 37.2306218767939 0 0.66224044043784 0.735840848818607
"18" "UP" "=~" "UP20" 0.249700895354766 0.0296985210297851 8.40785623985575 0 0.191492863742282 0.30790892696725
"19" "UP" "=~" "UP25" 0.360259821982779 0.0278724644494577 12.9252948778911 0 0.305630795501469 0.414888848464089
"20" "UP" "=~" "UP27" 0.696155102334219 0.0188654672188002 36.901026317571 0 0.65917946603385 0.733130738634589
"21" "FW" "=~" "FW4" 0.477290740532658 0.0263332434637507 18.1250266868825 0 0.425678531747582 0.528902949317734
"22" "FW" "=~" "FW8" 0.602880831723448 0.0230724115132523 26.1299444740385 0 0.557659736120986 0.64810192732591
"23" "FW" "=~" "FW12" 0.62456132745901 0.0224791301633258 27.7840522707577 0 0.580503041935103 0.668619612982916
"24" "FW" "=~" "FW16" 0.534788742678197 0.0248945304009453 21.4821783767366 0 0.485996359680307 0.583581125676088
"25" "FW" "=~" "FW21" 0.553807728264618 0.0243955739103586 22.7011559678646 0 0.50599328201813 0.601622174511106
"26" "FW" "=~" "FW23" 0.4904796779285 0.0260136351320711 18.8547150537915 0 0.439493889962675 0.541465465894325
"27" "FW" "=~" "FW26" 0.547167831746088 0.024570868227054 22.2689661061152 0 0.499009814952182 0.595325848539993
"28" "FD1" "~~" "FD1" 0.461061157563861 0.0257687613536827 17.8922514449057 0 0.410555313384435 0.511567001743286
"29" "FD5" "~~" "FD5" 0.604350024478635 0.0261687795828939 23.0943144507086 0 0.553060158976796 0.655639889980474
"30" "FD9" "~~" "FD9" 0.424114570158132 0.025538714600853 16.6067312621899 0 0.374059609329012 0.474169530987251
"31" "FD13" "~~" "FD13" 0.646704234077792 0.025986180348649 24.8864675531822 0 0.595772256498678 0.697636211656907
"32" "FD17" "~~" "FD17" 0.850512609412391 0.0210441696265995 40.4155937014192 0 0.809266794859704 0.891758423965078
"33" "SD2" "~~" "SD2" 0.624816429417054 0.028034526984112 22.2873897523277 0 0.569869766204578 0.67976309262953
"34" "SD6" "~~" "SD6" 0.92953470209825 0.0161511575167025 57.5522033722343 0 0.89787901505688 0.96119038913962
"35" "SD10" "~~" "SD10" 0.553930524818616 0.0286162423279912 19.357206948055 0 0.497843720482883 0.61001732915435
"36" "SD14" "~~" "SD14" 0.829801392602254 0.0229596502569538 36.1417261724592 0 0.784801305000989 0.874801480203519
"37" "SD18" "~~" "SD18" 0.941535393377003 0.0148649325551934 63.3393653069793 0 0.912400660936207 0.970670125817799
"38" "SD22" "~~" "SD22" 0.745417571716097 0.0259394219891238 28.7368612927707 0 0.694577238837628 0.796257904594565
"39" "SD24" "~~" "SD24" 0.672103671875556 0.027429178282639 24.5032375724123 0 0.618343470316055 0.725863873435056
"40" "UP3" "~~" "UP3" 0.955282505889742 0.0127634058500768 74.8454226960113 0 0.930266690103524 0.980298321675961
"41" "UP7" "~~" "UP7" 0.68834685752223 0.0257547983528572 26.7269363980815 0 0.637868380321538 0.738825334722921
"42" "UP11" "~~" "UP11" 0.578078569338794 0.0263957821792438 21.9004144455081 0 0.526343786923713 0.629813351753876
"43" "UP15" "~~" "UP15" 0.542397638562594 0.0263533735631732 20.5817155538884 0 0.490745975507644 0.594049301617543
"44" "UP19" "~~" "UP19" 0.511342177157758 0.0262503175486717 19.4794663420608 0 0.459892500179622 0.562791854135894
"45" "UP20" "~~" "UP20" 0.937649462859028 0.0148314947513452 63.2201594363228 0 0.908580267309497 0.96671865840856
"46" "UP25" "~~" "UP25" 0.870212860664936 0.020082657868973 43.3315583197473 0 0.830851574527909 0.909574146801963
"47" "UP27" "~~" "UP27" 0.515368073494032 0.0262665825504981 19.6206747681479 0 0.463886517698108 0.566849629289957
"48" "FW4" "~~" "FW4" 0.772193549001787 0.0251372269720079 30.7191222747712 0 0.722925489465443 0.821461608538131
"49" "FW8" "~~" "FW8" 0.636534702740444 0.0278198292839006 22.8806113885396 0 0.582008839287946 0.691060566192941
"50" "FW12" "~~" "FW12" 0.609923148242639 0.028079190377331 21.721536128586 0 0.554888946388027 0.664957350097251
"51" "FW16" "~~" "FW16" 0.714001000704673 0.0266266298951124 26.8152974491051 0 0.661813765080575 0.766188236328771
