"FD" "SD" "UP" "FW" "FD1" "FD5" "FD9" "FD13" "FD17" "SD2" "SD6" "SD10" "SD14" "SD18" "SD22" "SD24" "UP3" "UP7" "UP11" "UP15" "UP19" "UP20" "UP25" "UP27" "FW4" "FW8" "FW12" "FW16" "FW21" "FW23" "FW26" "FD" "SD" "UP" "FW" "FD1" "FD5" "FD9" "FD13" "FD17" "SD2" "SD6" "SD10" "SD14" "SD18" "SD22" "SD24" "UP3" "UP7" "UP11" "UP15" "UP19" "UP20" "UP25" "UP27" "FW4" "FW8" "FW12" "FW16" "FW21" "FW23" "FW26"
"FD" "1" "0.528137630428212" "0.360266751879278" "0.0610600801206095" "0.784402271434163" "0.725608892257293" "0.80138191854521" "0.671025045918205" "0.547318295650933" "0.337804406307202" "0.311347575705136" "0.467365289114206" "0.210071028446698" "0.281662788033733" "0.250458122756652" "0.290149982248969" "0.254236498656623" "0.12878969033175" "0.152818678546901" "0.174649510760246" "0.246870073995245" "0.425571016815436" "0.302848240575713" "0.139057979741155" "-0.0859266642697806" "0.0956680793652808" "-0.0289432742922194" "0.0408477522884706" "0.0265757105822438" "0.110477579626634" "0.0839603589106136" "1" "1" "0" "0" "1" "1" "1" "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"SD" "0.528137630428212" "1" "0.27805672503473" "0.24248073497935" "0.447989104512643" "0.352307616780263" "0.459059232975407" "0.325345908270034" "0.274654795407262" "0.631479129561817" "0.542043789726566" "0.668214325924789" "0.571388040554291" "0.519861841402326" "0.549937954682842" "0.604448138480245" "0.272719737657015" "0.0734465443627029" "0.0969156028688551" "0.159484510499091" "0.126288662972548" "0.33974359207993" "0.281595543106203" "0.0593760663182364" "0.050325129568717" "0.165883976938511" "0.130611349974548" "0.0884055007765337" "0.15054218362434" "0.167049756775452" "0.217120960084915" "1" "1" "0" "0" "0" "0" "0" "0" "0" "1" "1" "1" "1" "1" "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"UP" "0.360266751879278" "0.27805672503473" "1" "0.261901252667189" "0.231733002604287" "0.217334212339126" "0.191962126340025" "0.292643876535307" "0.356668895095109" "0.229120575582745" "0.0399469951835109" "0.143593591151925" "0.0870907926301054" "0.219725890635304" "0.225535465871729" "0.197331953638182" "0.612054963223787" "0.677650230006639" "0.697020261734113" "0.541272229080807" "0.669203092806116" "0.546009681975002" "0.633868626945927" "0.677315119437076" "0.173247336905543" "0.185167240743087" "0.000707336314888178" "0.213902736125492" "0.217824215797699" "0.190763315913864" "0.0989077634826062" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "1" "1" "1" "1" "1" "1" "1" "0" "0" "0" "0" "0" "0" "0"
"FW" "0.0610600801206095" "0.24248073497935" "0.261901252667189" "1" "0.0908916632132546" "-0.077671060626187" "0.0352962213364675" "-0.0298851035475739" "0.206294073798106" "0.15420618227075" "0.0833623795147947" "0.0482313776772754" "0.194308654872363" "0.199425285321784" "0.210251702963812" "0.114694153105391" "0.161378191006511" "0.207178101942598" "0.220556297431546" "0.176182568489296" "0.142835918008781" "0.109061780417676" "0.103481330611112" "0.204452889568593" "0.616532205021094" "0.577015432318318" "0.511244990594469" "0.595163863354608" "0.596999452298211" "0.5776734314492" "0.569325239363391" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "1" "1" "1" "1" "1" "1"
"FD1" "0.784402271434163" "0.447989104512643" "0.231733002604287" "0.0908916632132546" "1" "0.42646079173879" "0.647783117188458" "0.353724579000491" "0.318120256905984" "0.262482246948854" "0.303873244975358" "0.398362836897448" "0.19056190870365" "0.239577184981002" "0.194907648440266" "0.231029471548227" "0.18286287038986" "0.0561376231581911" "0.0781311842936058" "0.102384491661164" "0.149817435050673" "0.330243369899849" "0.221585821519694" "0.0530596911366837" "-0.056544402171207" "0.0623433053057717" "0.0720666630970658" "0.0174903724271224" "0.0554802050103577" "0.0912916854006898" "0.112853169961739" "1" "0" "0" "0" "1" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"FD5" "0.725608892257293" "0.352307616780263" "0.217334212339126" "-0.077671060626187" "0.42646079173879" "1" "0.481294258170633" "0.462181433684889" "0.191008801555403" "0.250626153387775" "0.215502587594285" "0.358086169946795" "0.0985401421934032" "0.150116386221174" "0.137875914824777" "0.21750008962374" "0.139519616992616" "0.0770698706149293" "0.0612236010654784" "0.0788332151323331" "0.159899346316346" "0.279143145990711" "0.223946629131806" "0.0798175275257863" "-0.1517640686775" "0.0331535475223647" "-0.156092789189882" "-0.0055856061708897" "-0.0653112846521583" "0.0378201326449966" "-0.00338416923341127" "1" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"FD9" "0.80138191854521" "0.459059232975407" "0.191962126340025" "0.0352962213364675" "0.647783117188458" "0.481294258170633" "1" "0.373985310629607" "0.288946680795238" "0.272585163646509" "0.312525721512752" "0.432809823858902" "0.182374696575181" "0.23425311372432" "0.19087416814116" "0.238492013291133" "0.154589795241647" "0.021066886700425" "0.0622225551028662" "0.0844986476240359" "0.143988653979229" "0.299017345102832" "0.182693113775785" "0.0255382415201086" "-0.0962723909912918" "0.0438198624453494" "0.0365575403183406" "-0.00497267998343517" "0.00206531282036666" "0.0445189979217209" "0.102412705428175" "1" "0" "0" "0" "1" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"FD13" "0.671025045918205" "0.325345908270034" "0.292643876535307" "-0.0298851035475739" "0.353724579000491" "0.462181433684889" "0.373985310629607" "1" "0.189443925938708" "0.215947641862377" "0.174584491385359" "0.283788470191226" "0.103953709160272" "0.183733311493027" "0.160628502794396" "0.200183338168391" "0.195722215113005" "0.121755968499726" "0.112222777473713" "0.125771960097391" "0.228037678196099" "0.312519139954976" "0.243156010778445" "0.140877468895782" "-0.105780355022248" "0.05404039961267" "-0.138914226737295" "0.00635303854469908" "-0.0147746363426407" "0.0822818028224555" "0.00313479461400041" "1" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"FD17" "0.547318295650933" "0.274654795407262" "0.356668895095109" "0.206294073798106" "0.318120256905984" "0.191008801555403" "0.288946680795238" "0.189443925938708" "1" "0.190966281001637" "0.0801956051429218" "0.165691875411292" "0.16702962354293" "0.18719180051257" "0.20453211304815" "0.135001846418601" "0.234735273178452" "0.193714063130482" "0.240941018743993" "0.238864939491747" "0.199338639239217" "0.287874807832643" "0.205123685411154" "0.207954133895366" "0.11827953489008" "0.153134099519152" "0.081648274324152" "0.141132089217878" "0.122814099379297" "0.142020239185715" "0.0787746782649138" "1" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"SD2" "0.337804406307202" "0.631479129561817" "0.229120575582745" "0.15420618227075" "0.262482246948854" "0.250626153387775" "0.272585163646509" "0.215947641862377" "0.190966281001637" "1" "0.207130512014433" "0.405443353906455" "0.257438942963159" "0.219545046714041" "0.27741544594516" "0.245977824060114" "0.199790427968976" "0.0963089512483574" "0.104124726957679" "0.114326997409593" "0.121427106184052" "0.236751378664807" "0.207079294270565" "0.0794104631342264" "0.0525520366032566" "0.12759734446774" "0.0197663555843166" "0.088707964254557" "0.101554367615111" "0.11333344654242" "0.122485582793947" "0" "1" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
